id	country_name	country_code	created_at	updated_at
130	Luxembourg	lux	2020-04-17 17:52:56	2020-04-17 17:52:56
131	Macao	mac	2020-04-17 17:52:56	2020-04-17 17:52:56
132	The Former Yugoslav Republic of Macedonia	mkd	2020-04-17 17:52:56	2020-04-17 17:52:56
133	Madagascar	mdg	2020-04-17 17:52:56	2020-04-17 17:52:56
134	Malawi	mwi	2020-04-17 17:52:56	2020-04-17 17:52:56
135	Malaysia	mys	2020-04-17 17:52:56	2020-04-17 17:52:56
136	Maldives	mdv	2020-04-17 17:52:56	2020-04-17 17:52:56
137	Mali	mli	2020-04-17 17:52:56	2020-04-17 17:52:56
138	Malta	mlt	2020-04-17 17:52:56	2020-04-17 17:52:56
139	Marshall Islands	mhl	2020-04-17 17:52:56	2020-04-17 17:52:56
140	Martinique	mtq	2020-04-17 17:52:56	2020-04-17 17:52:56
141	Mauritania	mrt	2020-04-17 17:52:56	2020-04-17 17:52:56
142	Mauritius	mus	2020-04-17 17:52:56	2020-04-17 17:52:56
143	Mayotte	myt	2020-04-17 17:52:56	2020-04-17 17:52:56
144	Mexico	mex	2020-04-17 17:52:56	2020-04-17 17:52:56
145	Federated States of Micronesia	fsm	2020-04-17 17:52:56	2020-04-17 17:52:56
146	Republic of Moldova	mda	2020-04-17 17:52:56	2020-04-17 17:52:56
147	Monaco	mco	2020-04-17 17:52:56	2020-04-17 17:52:56
148	Mongolia	mng	2020-04-17 17:52:56	2020-04-17 17:52:56
149	Montenegro	mne	2020-04-17 17:52:56	2020-04-17 17:52:56
150	Montserrat	msr	2020-04-17 17:52:56	2020-04-17 17:52:56
151	Morocco	mar	2020-04-17 17:52:56	2020-04-17 17:52:56
152	Mozambique	moz	2020-04-17 17:52:56	2020-04-17 17:52:56
153	Myanmar	mmr	2020-04-17 17:52:56	2020-04-17 17:52:56
154	Namibia	nam	2020-04-17 17:52:56	2020-04-17 17:52:56
155	Nauru	nru	2020-04-17 17:52:56	2020-04-17 17:52:56
156	Nepal	npl	2020-04-17 17:52:56	2020-04-17 17:52:56
157	Netherlands	nld	2020-04-17 17:52:56	2020-04-17 17:52:56
158	New Caledonia	ncl	2020-04-17 17:52:56	2020-04-17 17:52:56
159	New Zealand	nzl	2020-04-17 17:52:56	2020-04-17 17:52:56
160	Nicaragua	nic	2020-04-17 17:52:56	2020-04-17 17:52:56
161	Niger	ner	2020-04-17 17:52:56	2020-04-17 17:52:56
162	Nigeria	nga	2020-04-17 17:52:56	2020-04-17 17:52:56
163	Niue	niu	2020-04-17 17:52:56	2020-04-17 17:52:56
164	Norfolk Island	nfk	2020-04-17 17:52:56	2020-04-17 17:52:56
165	Northern Mariana Islands	mnp	2020-04-17 17:52:56	2020-04-17 17:52:56
166	Norway	nor	2020-04-17 17:52:56	2020-04-17 17:52:56
167	Oman	omn	2020-04-17 17:52:56	2020-04-17 17:52:56
168	Pakistan	pak	2020-04-17 17:52:56	2020-04-17 17:52:56
169	Palau	plw	2020-04-17 17:52:56	2020-04-17 17:52:56
170	State of Palestine	pse	2020-04-17 17:52:56	2020-04-17 17:52:56
171	Panama	pan	2020-04-17 17:52:56	2020-04-17 17:52:56
172	Papua New Guinea	png	2020-04-17 17:52:56	2020-04-17 17:52:56
173	Paraguay	pry	2020-04-17 17:52:56	2020-04-17 17:52:56
174	Peru	per	2020-04-17 17:52:56	2020-04-17 17:52:56
175	Philippines	phl	2020-04-17 17:52:56	2020-04-17 17:52:56
176	Pitcairn	pcn	2020-04-17 17:52:56	2020-04-17 17:52:56
177	Poland	pol	2020-04-17 17:52:56	2020-04-17 17:52:56
178	Portugal	prt	2020-04-17 17:52:56	2020-04-17 17:52:56
179	Puerto Rico	pri	2020-04-17 17:52:56	2020-04-17 17:52:56
180	Qatar	qat	2020-04-17 17:52:56	2020-04-17 17:52:56
181	Réunion	reu	2020-04-17 17:52:56	2020-04-17 17:52:56
182	Romania	rou	2020-04-17 17:52:56	2020-04-17 17:52:56
183	Russian Federation	rus	2020-04-17 17:52:56	2020-04-17 17:52:56
184	Rwanda	rwa	2020-04-17 17:52:56	2020-04-17 17:52:56
185	Ascension and Tristan Da Cunha Saint Helena	shn	2020-04-17 17:52:56	2020-04-17 17:52:56
186	Saint Barthélemy	blm	2020-04-17 17:52:56	2020-04-17 17:52:56
187	Saint Kitts and Nevis	kna	2020-04-17 17:52:56	2020-04-17 17:52:56
188	Saint Lucia	lca	2020-04-17 17:52:56	2020-04-17 17:52:56
189	Saint Pierre and Miquelon	spm	2020-04-17 17:52:56	2020-04-17 17:52:56
190	Saint Vincent and The Grenadines	vct	2020-04-17 17:52:56	2020-04-17 17:52:56
191	Samoa	wsm	2020-04-17 17:52:56	2020-04-17 17:52:56
192	San Marino	smr	2020-04-17 17:52:56	2020-04-17 17:52:56
193	Sao Tome and Principe	stp	2020-04-17 17:52:56	2020-04-17 17:52:56
194	Saudi Arabia	sau	2020-04-17 17:52:56	2020-04-17 17:52:56
195	Senegal	sen	2020-04-17 17:52:56	2020-04-17 17:52:56
196	Serbia	srb	2020-04-17 17:52:56	2020-04-17 17:52:56
197	Seychelles	syc	2020-04-17 17:52:56	2020-04-17 17:52:56
198	Sierra Leone	sle	2020-04-17 17:52:56	2020-04-17 17:52:56
199	Singapore	sgp	2020-04-17 17:52:56	2020-04-17 17:52:56
200	Sint Maarten 	sxm	2020-04-17 17:52:56	2020-04-17 17:52:56
201	Slovakia	svk	2020-04-17 17:52:56	2020-04-17 17:52:56
202	Slovenia	svn	2020-04-17 17:52:56	2020-04-17 17:52:56
203	Solomon Islands	slb	2020-04-17 17:52:56	2020-04-17 17:52:56
204	Somalia	som	2020-04-17 17:52:56	2020-04-17 17:52:56
205	South Africa	zaf	2020-04-17 17:52:56	2020-04-17 17:52:56
206	South Georgia and The South Sandwich Islands	sgs	2020-04-17 17:52:56	2020-04-17 17:52:56
207	South Sudan	ssd	2020-04-17 17:52:56	2020-04-17 17:52:56
208	Spain	esp	2020-04-17 17:52:56	2020-04-17 17:52:56
209	Sri Lanka	lka	2020-04-17 17:52:56	2020-04-17 17:52:56
210	Sudan	sdn	2020-04-17 17:52:56	2020-04-17 17:52:56
211	Suriname	sur	2020-04-17 17:52:56	2020-04-17 17:52:56
212	Svalbard and Jan Mayen Islands	sjm	2020-04-17 17:52:56	2020-04-17 17:52:56
213	Swaziland	swz	2020-04-17 17:52:56	2020-04-17 17:52:56
214	Sweden	swe	2020-04-17 17:52:56	2020-04-17 17:52:56
215	Switzerland	che	2020-04-17 17:52:56	2020-04-17 17:52:56
216	Syrian Arab Republic	syr	2020-04-17 17:52:56	2020-04-17 17:52:56
217	Province of China Taiwan	twn	2020-04-17 17:52:56	2020-04-17 17:52:56
218	Tajikistan	tjk	2020-04-17 17:52:56	2020-04-17 17:52:56
219	United Republic of Tanzania	tza	2020-04-17 17:52:56	2020-04-17 17:52:56
220	Thailand	tha	2020-04-17 17:52:56	2020-04-17 17:52:56
221	Timor-leste	tls	2020-04-17 17:52:56	2020-04-17 17:52:56
222	Togo	tgo	2020-04-17 17:52:56	2020-04-17 17:52:56
223	Tokelau	tkl	2020-04-17 17:52:56	2020-04-17 17:52:56
224	Tonga	ton	2020-04-17 17:52:56	2020-04-17 17:52:56
225	Trinidad and Tobago	tto	2020-04-17 17:52:56	2020-04-17 17:52:56
226	Tunisia	tun	2020-04-17 17:52:56	2020-04-17 17:52:56
227	Turkey	tur	2020-04-17 17:52:56	2020-04-17 17:52:56
228	Turkmenistan	tkm	2020-04-17 17:52:56	2020-04-17 17:52:56
229	Turks and Caicos Islands	tca	2020-04-17 17:52:56	2020-04-17 17:52:56
230	Tuvalu	tuv	2020-04-17 17:52:56	2020-04-17 17:52:56
231	Uganda	uga	2020-04-17 17:52:56	2020-04-17 17:52:56
232	Ukraine	ukr	2020-04-17 17:52:56	2020-04-17 17:52:56
233	United Arab Emirates	are	2020-04-17 17:52:56	2020-04-17 17:52:56
234	United Kingdom	gbr	2020-04-17 17:52:56	2020-04-17 17:52:56
235	United States	usa	2020-04-17 17:52:56	2020-04-17 17:52:56
236	United States Minor Outlying Islands	umi	2020-04-17 17:52:56	2020-04-17 17:52:56
